+--------+------------+------------+----------+----------+----------+----------+----------+----------+----------+-----------+----------+----------+-----------+-----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+----------+----------+-----------+----------+----------+-----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+----------+----------+-----------+-----------+----------+----------+-----------+-----------+-----------+-----------+-----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+----------+-----------+----------+----------+----------+----------+----------+----------+----------+-----------+----------+-----------+----------+----------+-----------+----------+----------+
| source |    sum     |    SIL     |   SPN    |    AA    |   AA0    |   AA1    |   AA2    |    AE    |   AE0    |    AE1    |   AE2    |    AH    |    AH0    |    AH1    |   AH2    |    AO    |   AO0    |   AO1    |   AO2    |    AW    |   AW0    |   AW1    |   AW2    |    AY    |   AY0    |   AY1    |   AY2    |    B     |    CH    |     D     |     DH    |    EH    |   EH0    |    EH1    |   EH2    |    ER    |    ER0    |   ER1    |   ER2    |    EY    |   EY0    |   EY1    |   EY2    |    F     |    G     |    HH    |    IH    |    IH0    |    IH1    |   IH2    |    IY    |    IY0    |    IY1    |   IY2    |    JH    |     K     |     L     |     M     |     N     |     NG    |    OW    |   OW0    |   OW1    |   OW2    |    OY    |   OY0    |   OY1    |   OY2    |    P     |     R     |     S     |    SH    |     T     |    TH    |    UH    |   UH0    |   UH1    |   UH2    |    UW    |   UW0    |    UW1    |   UW2    |     V     |    W     |    Y     |     Z     |    ZH    |  final   |
|   AW   | 87.000000  |  1.000000  | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |
|  AW0   | 22.412341  |  0.538058  | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 |  0.147730 | 0.090059 | 0.090059 |  0.338668 |  0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 1.159635 | 0.090059 |  0.090059 |  0.120602 | 0.090059 | 0.911506 |  0.090059 | 0.090059 | 0.090059 |  1.117959 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.797166 | 0.090059 | 0.090104 | 0.090059 |  0.605517 |  0.589618 | 0.090059 | 0.090059 |  0.090059 |  0.090059 | 0.090059 | 0.090059 |  0.090059 |  0.090059 |  0.090059 |  4.059100 |  0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 |  0.090059 |  0.108067 | 0.090059 |  4.070129 | 0.567480 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 | 0.090059 |  0.090059 | 0.090059 |  0.090059 | 0.230759 | 0.090059 |  0.602869 | 0.090059 | 0.143281 |
|  AW1   | 70.991079  |  2.846420  | 0.054562 | 0.010799 | 0.010799 | 0.178266 | 0.019868 | 0.010799 | 0.021193 |  0.116742 | 0.010799 | 0.010799 |  0.731268 |  0.014318 | 0.026004 | 0.010799 | 0.010799 | 0.059594 | 0.015635 | 0.010799 | 0.010799 | 0.029068 | 0.010799 | 0.010799 | 0.010799 | 0.277894 | 0.010799 | 0.334508 | 0.212128 |  3.195729 |  0.982523 | 0.010799 | 0.036350 |  0.036464 | 0.010799 | 0.010799 |  5.744792 | 0.018345 | 0.010799 | 0.010799 | 0.010799 | 0.010848 | 0.010799 | 0.301406 | 0.220417 | 0.739968 | 0.010799 |  0.495929 |  0.025192 | 0.013110 | 0.010799 |  0.013248 |  0.022811 | 0.010799 | 0.083145 |  0.460688 |  0.886874 |  0.707440 | 21.407604 |  0.010799 | 0.010799 | 0.010799 | 0.049310 | 0.010799 | 0.010799 | 0.010799 | 0.010799 | 0.010799 | 0.222874 |  0.293203 |  4.711399 | 0.214102 | 21.003742 | 1.084804 | 0.010799 | 0.010799 | 0.010799 | 0.010799 | 0.010799 | 0.010799 |  0.010799 | 0.010799 |  0.041366 | 0.520366 | 0.232405 |  1.783044 | 0.010799 | 0.062154 |
|  AW2   | 34.785568  |  1.534200  | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018397 |  0.084944 | 0.018397 | 0.018397 |  0.061300 |  0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.041464 | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.335506 | 0.018397 | 0.035517 | 0.018397 |  0.381807 |  0.343603 | 0.018397 | 0.018397 | 19.860987 | 0.018397 | 0.018397 |  0.439564 | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018395 | 0.018397 | 0.215640 | 0.018397 | 0.170252 | 0.018397 |  0.306100 |  0.065637 | 0.018397 | 0.018397 |  0.018397 |  0.018397 | 0.018397 | 0.144738 |  0.042494 |  0.018397 |  0.364325 |  3.291453 |  0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018397 |  0.018398 |  2.121959 | 0.150669 |  1.759080 | 0.564308 | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018397 | 0.018397 |  0.018397 | 0.018397 |  0.018397 | 0.223949 | 0.018397 |  0.819726 | 0.018397 | 0.285720 |
|   AY   | 87.000000  |  1.000000  | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |
|  AY0   | 36.467633  |  0.175887  | 0.016217 | 0.016217 | 0.016217 | 0.528420 | 0.016217 | 0.016217 | 0.016217 |  2.202592 | 0.016217 | 0.016217 |  0.551121 |  0.907829 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.326833 | 0.016217 | 15.762943 |  0.025991 | 0.016217 | 0.016217 |  0.286584 | 0.016217 | 0.016217 |  1.419071 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.961541 | 0.016217 | 0.016217 |  0.016217 |  0.016217 | 0.016217 | 0.016217 |  0.016217 |  0.016217 | 0.016217 | 0.368911 |  1.167893 |  0.757078 |  0.652078 |  1.621658 |  0.016217 | 0.016217 | 0.016217 | 0.221881 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.879384 |  1.149735 |  1.062977 | 0.016217 |  2.227416 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 | 0.016217 |  0.016217 | 0.016217 |  0.758577 | 0.016217 | 0.016217 |  1.271642 | 0.016217 | 0.157912 |
|  AY1   | 97.372559  |  3.261185  | 0.054881 | 0.012175 | 0.034453 | 0.144692 | 0.025018 | 0.012175 | 0.048806 |  1.410840 | 0.041456 | 0.012175 |  3.245672 |  0.233631 | 0.068656 | 0.012175 | 0.024884 | 0.144581 | 0.020681 | 0.012175 | 0.012175 | 0.047104 | 0.012175 | 0.012175 | 0.028128 | 0.139478 | 0.012175 | 1.744303 | 0.200094 |  9.295375 |  3.024660 | 0.012175 | 0.055034 |  0.162461 | 0.028239 | 0.012175 |  2.506281 | 0.022345 | 0.012175 | 0.012175 | 0.012168 | 0.046444 | 0.012175 | 3.833135 | 0.774588 | 4.163590 | 0.012175 |  1.334437 |  0.043706 | 0.044706 | 0.012175 |  0.012161 |  0.036564 | 0.019294 | 0.338425 |  6.094765 |  6.557362 |  6.159688 |  8.860657 |  0.071325 | 0.012175 | 0.066469 | 0.245150 | 0.016871 | 0.012175 | 0.012175 | 0.015707 | 0.012175 | 1.192153 |  2.046341 |  4.053185 | 1.131017 | 12.198000 | 0.938574 | 0.012175 | 0.012175 | 0.012175 | 0.012175 | 0.012175 | 0.012175 |  0.012175 | 0.012175 |  2.821885 | 4.199146 | 0.212442 |  3.436265 | 0.012175 | 0.030330 |
|  AY2   | 44.985784  |  0.728799  | 0.010178 | 0.010178 | 0.010178 | 0.058012 | 0.010178 | 0.010178 | 0.010178 |  0.067873 | 0.010178 | 0.010178 |  0.880796 |  0.077351 | 0.010178 | 0.010178 | 0.010178 | 0.032755 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.146250 | 0.010178 |  6.255198 |  0.510992 | 0.010178 | 0.010491 |  0.044632 | 0.010178 | 0.010178 |  0.290398 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.010198 | 0.010178 | 0.283455 | 0.129787 | 0.333587 | 0.010178 |  1.090125 |  0.036282 | 0.010178 | 0.010178 |  0.010178 |  0.077659 | 0.010178 | 0.077259 |  1.026111 |  2.751230 |  4.877086 |  2.476445 |  0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.247365 |  0.344257 |  6.908024 | 0.012113 |  3.918428 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.010178 | 0.010178 |  0.010178 | 0.010178 |  0.584867 | 0.122152 | 0.166100 |  9.781465 | 0.010178 | 0.088806 |
|   B    | 97.053270  |  0.367482  | 0.019240 | 0.012102 | 0.144505 | 2.059974 | 0.249547 | 0.012102 | 0.037003 |  3.940864 | 0.119299 | 0.012102 |  9.348480 | 11.074310 | 0.068005 | 0.012102 | 0.030278 | 1.002442 | 0.209575 | 0.012102 | 0.012102 | 3.125517 | 0.046158 | 0.012102 | 0.036439 | 7.205703 | 0.055369 | 0.028176 | 0.016199 |  0.445461 |  0.064386 | 0.012102 | 0.054058 |  4.533999 | 0.310123 | 0.012102 |  2.917413 | 0.834212 | 0.044655 | 0.012102 | 0.018998 | 0.883857 | 0.021532 | 0.031395 | 0.035499 | 0.070060 | 0.012102 | 11.419642 |  4.194176 | 0.045459 | 0.012102 |  5.106820 |  6.155550 | 0.271301 | 0.812645 |  0.049898 |  5.022349 |  0.133972 |  0.046143 |  0.012102 | 0.012102 | 0.171232 | 1.612820 | 0.117831 | 0.012102 | 0.012102 | 0.894004 | 0.043410 | 0.028177 |  6.742982 |  0.860377 | 0.015955 |  0.187288 | 0.020751 | 0.012102 | 0.028355 | 0.898244 | 0.045788 | 0.012102 | 0.031705 |  0.216401 | 0.016290 |  0.096612 | 0.072702 | 1.127995 |  0.861530 | 0.012102 | 0.024709 |
|   CH   | 81.148778  |  8.483694  | 0.038005 | 0.010946 | 0.023199 | 1.978629 | 0.033361 | 0.010946 | 0.056890 |  3.516093 | 0.035003 | 0.010946 | 10.335957 |  1.022250 | 0.062808 | 0.010946 | 0.027990 | 0.165015 | 0.026527 | 0.010946 | 0.011285 | 0.093294 | 0.010946 | 0.010946 | 0.144436 | 2.380033 | 0.096294 | 0.456862 | 0.055605 |  0.482398 |  2.199824 | 0.010946 | 0.071180 |  1.653855 | 0.234906 | 0.010946 |  8.852320 | 0.993072 | 0.073936 | 0.010946 | 0.010954 | 2.640851 | 0.024199 | 0.962052 | 0.386443 | 3.441042 | 0.010946 |  5.489125 |  2.607528 | 0.167808 | 0.010946 |  0.152700 |  1.588422 | 0.010946 | 0.105612 |  1.051667 |  0.805924 |  1.846245 |  0.214087 |  0.010946 | 0.010946 | 0.065638 | 0.533658 | 0.080591 | 0.010946 | 0.010946 | 0.230400 | 0.010946 | 0.553204 |  0.873654 |  1.416740 | 0.624775 |  4.606541 | 0.195404 | 0.010946 | 0.010946 | 0.126559 | 0.070232 | 0.010946 | 1.910114 |  0.363219 | 0.093120 |  0.113710 | 3.399354 | 0.425949 |  0.023863 | 0.010946 | 0.101856 |
|   D    | 124.280676 | 17.618654  | 0.189335 | 0.013380 | 0.087657 | 1.372210 | 0.044619 | 0.013380 | 0.060091 |  1.822243 | 0.059791 | 0.013380 | 10.031083 |  1.656792 | 0.048009 | 0.013380 | 0.050186 | 1.409462 | 0.071295 | 0.013380 | 0.017014 | 1.582784 | 0.020976 | 0.013380 | 0.103508 | 1.193728 | 0.040763 | 3.917445 | 0.247227 |  1.362290 |  7.125365 | 0.013380 | 0.075173 |  1.687169 | 0.132280 | 0.013380 |  3.803517 | 0.248860 | 0.014759 | 0.013380 | 0.016674 | 1.795997 | 0.158859 | 2.855109 | 0.987854 | 5.576571 | 0.013380 | 11.208835 |  2.782393 | 0.460032 | 0.013380 |  2.434426 |  1.211484 | 0.024020 | 0.413868 |  1.994483 |  2.297579 |  3.249493 |  2.601037 |  0.013380 | 0.013380 | 0.348158 | 0.929293 | 0.173544 | 0.013380 | 0.013380 | 0.026897 | 0.020331 | 1.648407 |  3.786245 |  4.343457 | 0.700422 |  4.737005 | 0.373691 | 0.013380 | 0.015864 | 0.090473 | 0.013380 | 0.013380 | 0.025055 |  1.998979 | 0.023359 |  0.791899 | 4.022827 | 0.839286 |  2.862830 | 0.013379 | 0.105428 |
|   DH   | 113.601797 |  0.039917  | 0.014599 | 0.014256 | 0.014256 | 0.017891 | 0.014258 | 0.014256 | 0.014255 | 10.013593 | 0.014260 | 0.014256 | 61.567280 |  0.337004 | 0.014254 | 0.014256 | 0.014256 | 0.016592 | 0.018995 | 0.014256 | 0.014256 | 0.226075 | 0.014256 | 0.014256 | 0.014255 | 0.171197 | 0.014255 | 0.017694 | 0.016064 |  0.071839 |  0.029051 | 0.014256 | 0.040263 | 10.109238 | 0.053948 | 0.014256 |  7.161167 | 0.014256 | 0.046555 | 0.014256 | 0.014255 | 4.854710 | 0.014256 | 0.023660 | 0.014722 | 0.027422 | 0.014256 |  0.181730 |  4.440991 | 0.014253 | 0.014256 |  9.748356 |  1.478753 | 0.014256 | 0.014230 |  0.017797 |  0.030711 |  0.027496 |  0.021244 |  0.014256 | 0.014256 | 0.014256 | 1.896202 | 0.014256 | 0.014256 | 0.014256 | 0.014255 | 0.014256 | 0.022065 |  0.029289 |  0.023587 | 0.016192 |  0.015983 | 0.014782 | 0.014256 | 0.014256 | 0.014256 | 0.014256 | 0.014256 | 0.014256 |  0.014255 | 0.014256 |  0.014222 | 0.024652 | 0.018963 |  0.047367 | 0.014256 | 0.014718 |
|   EH   | 87.000000  |  1.000000  | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |
|  EH0   | 36.147625  |  0.010342  | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 |  0.010342 | 0.010342 | 0.010342 |  0.111165 |  0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 |  0.834489 |  0.010342 | 0.010342 | 0.010342 |  0.010342 | 0.010342 | 0.010342 |  0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.214928 | 0.108879 | 0.010342 |  0.010342 |  0.010342 | 0.010342 | 0.010342 |  0.010342 |  0.010342 | 0.010342 | 0.010342 |  9.282409 |  0.495956 |  1.660546 | 12.056466 |  0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.325096 |  3.563535 |  6.113790 | 0.010342 |  0.298334 | 0.162626 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 | 0.010342 |  0.010342 | 0.010342 |  0.010470 | 0.010342 | 0.010342 |  0.164316 | 0.010342 | 0.010342 |
|  EH1   | 114.119214 |  0.025115  | 0.014454 | 0.014068 | 0.014068 | 0.014090 | 0.014068 | 0.014068 | 0.014068 |  0.014068 | 0.014068 | 0.014068 |  0.014076 |  0.014068 | 0.014078 | 0.014068 | 0.014068 | 0.014235 | 0.014068 | 0.014068 | 0.014068 | 0.014068 | 0.014068 | 0.014068 | 0.014068 | 0.016979 | 0.014068 | 0.179124 | 0.405482 |  9.897405 |  1.192026 | 0.014068 | 0.014068 |  0.019037 | 0.014068 | 0.014068 |  0.014071 | 0.014068 | 0.014068 | 0.014068 | 0.014068 | 0.014073 | 0.014068 | 1.379923 | 0.788874 | 0.026677 | 0.014068 |  0.014068 |  0.014068 | 0.014068 | 0.014068 |  0.014068 |  0.014068 | 0.014068 | 0.459777 |  6.123346 | 13.072302 |  3.879919 | 26.054630 |  0.440590 | 0.014068 | 0.014068 | 0.014068 | 0.014068 | 0.014068 | 0.014068 | 0.014068 | 0.014068 | 1.827645 | 22.377512 |  7.727569 | 1.498361 |  5.686344 | 0.691925 | 0.014068 | 0.014068 | 0.014068 | 0.014068 | 0.014068 | 0.014068 |  0.014068 | 0.014068 |  6.972498 | 0.022555 | 0.014073 |  1.970155 | 0.524667 | 0.014068 |
|  EH2   | 43.779928  |  0.009787  | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 |  0.009787 | 0.009787 | 0.009787 |  0.009787 |  0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.043235 | 0.060830 |  0.979459 |  0.009787 | 0.009787 | 0.009787 |  0.009787 | 0.009787 | 0.009787 |  0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.379197 | 0.317713 | 0.009787 | 0.009787 |  0.009787 |  0.009787 | 0.009787 | 0.009787 |  0.009787 |  0.009787 | 0.009787 | 0.737663 |  7.065652 |  2.424907 |  0.684145 |  4.147842 |  0.125987 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 3.038489 | 14.678029 |  4.212216 | 0.113516 |  1.275193 | 0.082957 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 | 0.009787 |  0.009787 | 0.009787 |  1.487121 | 0.009787 | 0.009787 |  1.260274 | 0.009787 | 0.009787 |
|   ER   | 87.000000  |  1.000000  | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |
|  ER0   | 109.107787 | 17.618382  | 0.149523 | 0.012758 | 0.035999 | 0.423293 | 0.055710 | 0.012758 | 0.043813 |  0.840741 | 0.071176 | 0.012758 |  7.655879 |  0.364035 | 0.039829 | 0.012758 | 0.024075 | 0.381519 | 0.040423 | 0.012758 | 0.016126 | 0.738017 | 0.012758 | 0.012758 | 0.027899 | 0.857445 | 0.047087 | 2.081641 | 0.254523 |  8.301134 |  5.660175 | 0.012758 | 0.062913 |  1.108135 | 0.101876 | 0.012758 |  0.333846 | 0.018293 | 0.012758 | 0.012758 | 0.025817 | 0.940075 | 0.330711 | 3.053004 | 1.546897 | 4.782557 | 0.012758 |  3.006195 |  0.596488 | 0.108743 | 0.012758 |  1.566806 |  0.245178 | 0.019707 | 0.601241 |  2.259763 |  2.069820 |  8.376092 |  2.328572 |  0.012758 | 0.012758 | 0.068776 | 0.319071 | 0.041953 | 0.012758 | 0.012758 | 0.016712 | 0.028618 | 1.909936 |  1.187452 |  6.389160 | 0.603716 |  4.925764 | 0.447253 | 0.012758 | 0.012758 | 0.012758 | 0.012758 | 0.012758 | 0.012758 |  0.086922 | 0.012758 |  0.672844 | 3.617246 | 0.844850 |  8.320594 | 0.012758 | 0.096788 |
|  ER1   | 77.439979  |  3.836019  | 0.060147 | 0.011003 | 0.020383 | 0.128505 | 0.020662 | 0.011003 | 0.042662 |  0.164880 | 0.023462 | 0.011003 |  1.333529 |  0.032646 | 0.033242 | 0.011003 | 0.052081 | 0.118493 | 0.011133 | 0.011003 | 0.011511 | 0.046011 | 0.011003 | 0.011003 | 0.020621 | 0.090671 | 0.011003 | 1.185040 | 2.486609 |  8.598475 |  1.222909 | 0.011003 | 0.090268 |  0.061156 | 0.011049 | 0.011003 |  0.066769 | 0.014388 | 0.011003 | 0.011003 | 0.010998 | 0.028503 | 0.011003 | 1.728896 | 0.247832 | 0.333799 | 0.011003 |  2.123315 |  0.038939 | 0.029575 | 0.011003 |  0.831056 |  0.022395 | 0.011003 | 0.966835 |  5.145489 |  7.166021 |  3.102203 | 10.213038 |  0.011003 | 0.011003 | 0.297574 | 0.214170 | 0.035545 | 0.011003 | 0.011003 | 0.011003 | 0.011003 | 1.559930 |  0.307300 |  9.685964 | 0.542919 |  5.269833 | 1.828050 | 0.011003 | 0.011003 | 0.011003 | 0.011003 | 0.011003 | 0.011003 |  0.011003 | 0.011003 |  4.558160 | 0.220291 | 0.098632 |  0.421944 | 0.227352 | 0.069996 |
|  ER2   | 26.416684  |  0.809113  | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.029208 |  0.110506 | 0.029208 | 0.029208 |  0.110831 |  0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.138787 | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.094100 | 0.029208 | 0.381417 | 0.029208 |  0.966176 |  0.603866 | 0.029208 | 0.029208 |  0.029208 | 0.029208 | 0.029208 |  0.029910 | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.030025 | 0.029208 | 0.390586 | 0.029208 | 0.301382 | 0.029208 |  0.029208 |  0.029208 | 0.029208 | 0.029208 |  0.029208 |  0.029208 | 0.029208 | 0.029208 |  3.542897 |  0.674151 |  2.397914 |  1.724339 |  0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 1.377016 |  0.029208 |  6.061373 | 0.029208 |  3.410327 | 0.806849 | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.029208 | 0.029208 |  0.029208 | 0.029208 |  0.029208 | 0.272338 | 0.029208 |  0.284240 | 0.029208 | 0.029208 |
|   EY   | 87.000000  |  1.000000  | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |
