+----------+------------+----------+----------+----------+----------+----------+------------+----------+----------+-----------+------------+----------+----------+-----------+----------+----------+-----------+----------+-----------+----------+----------+----------+----------+----------+-----------+-----------+----------+----------+-----------+-----------+-----------+-----------+-----------+-----------+----------+-----------+----------+----------+-----------+----------+----------+-----------+-----------+----------+----------+----------+----------+----------+
|  source  |    sum     | laughter |  noise   |   oov    |  <hes>   | <noise>  |   <sil>    |  <unk>   |    AA    |     AE    |     AH     |    AO    |    AW    |     AY    |    B     |    CH    |     D     |    DH    |     EH    |    ER    |    EY    |    F     |    G     |    HH    |     IH    |     IY    |    JH    |    K     |     L     |     M     |     N     |     NG    |     OW    |     OY    |    P     |     R     |    S     |    SH    |     T     |    TH    |    UH    |     UW    |     V     |    W     |    Y     |    Z     |    ZH    |  final   |
|    T     | 35.292844  | 0.000102 | 0.000102 | 0.000102 | 0.000102 | 0.000102 |  8.182222  | 0.003319 | 0.234488 |  0.208117 |  4.384672  | 0.519474 | 0.396178 |  0.387974 | 0.189114 | 0.002925 |  0.068538 | 0.945105 |  0.289144 | 2.368107 | 0.498308 | 0.053584 | 0.196802 | 0.142366 |  2.453706 |  0.178966 | 0.009361 | 0.038120 |  0.371397 |  0.152251 |  0.055400 |  0.000102 |  0.076427 |  0.016430 | 0.089578 |  0.546827 | 2.946499 | 0.013001 |  0.000487 | 0.018119 | 0.025204 |  7.425192 |  0.005163 | 0.576555 | 0.100076 | 0.000102 | 0.000102 | 1.122830 |
|    TH    | 43.638521  | 0.000143 | 0.000143 | 0.000143 | 0.000143 | 0.000143 |  4.638474  | 0.005734 | 0.039999 |  1.880561 |  0.643674  | 0.195652 | 0.077511 |  0.029564 | 0.021797 | 0.000772 |  0.000961 | 2.484691 |  0.026719 | 0.278843 | 0.020109 | 0.026246 | 0.025777 | 0.097904 |  6.724870 |  0.016079 | 0.015299 | 0.011061 |  0.022709 |  0.868503 |  0.012000 |  0.000143 |  0.011603 |  0.000143 | 0.029757 | 23.564665 | 0.116332 | 0.009723 |  0.043269 | 0.000694 | 0.000143 |  0.000143 |  0.001828 | 0.207216 | 0.187823 | 0.000143 | 0.000143 | 1.298535 |
|    UH    | 31.766519  | 0.000125 | 0.000125 | 0.000125 | 0.000125 | 0.000125 |  0.000125  | 0.000125 | 0.000125 |  0.000125 |  0.000125  | 0.000125 | 0.000125 |  0.000125 | 0.000125 | 0.000125 |  8.860815 | 0.000125 |  0.000125 | 0.000125 | 0.000125 | 0.000125 | 0.000125 | 0.000125 |  0.000125 |  0.000125 | 0.000125 | 5.729360 |  0.748263 |  1.160651 |  0.000125 |  0.000125 |  0.000125 |  0.000125 | 0.013503 |  5.628185 | 0.000125 | 0.056120 |  9.564751 | 0.000125 | 0.000125 |  0.000125 |  0.000125 | 0.000125 | 0.000125 | 0.000125 | 0.000125 | 0.000125 |
|    UW    | 41.946462  | 0.000095 | 0.000095 | 0.000095 | 0.000095 | 0.000095 |  9.507223  | 0.012404 | 0.063577 |  0.135449 |  0.280553  | 0.039215 | 0.046618 |  0.096069 | 0.576909 | 0.347319 |  0.425825 | 3.911843 |  0.199581 | 0.021678 | 0.059448 | 0.206718 | 1.780780 | 0.574408 |  0.725928 |  0.013223 | 0.091858 | 0.404459 |  0.351166 | 10.816663 |  0.303448 |  0.000095 |  0.022228 |  0.000095 | 1.272535 |  0.926471 | 1.050368 | 0.057153 |  0.643743 | 0.154888 | 0.000095 |  0.002033 |  2.950964 | 0.500222 | 0.858408 | 0.864425 | 0.009596 | 1.640303 |
|    V     | 39.236647  | 0.000116 | 0.000116 | 0.000116 | 0.000116 | 0.000116 |  5.727994  | 0.005838 | 0.013484 |  0.119376 |  2.149413  | 0.076090 | 0.029754 |  0.077916 | 0.082536 | 0.000910 |  0.491475 | 2.941677 |  0.396707 | 5.417228 | 0.023064 | 0.216731 | 0.703631 | 0.276124 |  9.839049 |  0.183698 | 0.018633 | 0.016163 |  0.042023 |  0.448304 |  0.005809 |  0.000116 |  7.628126 |  0.012705 | 0.028929 |  0.180631 | 0.233345 | 0.000513 |  0.306783 | 0.018690 | 0.000116 |  0.008767 |  0.000179 | 0.227532 | 0.115254 | 0.162813 | 0.000116 | 1.007820 |
|    W     | 48.808318  | 0.000141 | 0.000141 | 0.000141 | 0.000141 | 0.000141 |  0.000141  | 0.000141 | 1.442655 |  0.000141 | 14.806936  | 4.370520 | 0.310535 |  0.705630 | 0.000141 | 0.000141 |  0.000141 | 0.000141 |  3.892174 | 3.166934 | 2.865183 | 0.000141 | 0.000141 | 0.000141 |  6.258876 |  9.877732 | 0.000141 | 0.000141 |  0.000141 |  0.000141 |  0.000141 |  0.000141 |  0.076318 |  0.000141 | 0.000141 |  0.000141 | 0.000141 | 0.000141 |  0.000141 | 0.000141 | 0.862830 |  0.167204 |  0.000141 | 0.000141 | 0.000141 | 0.000141 | 0.000141 | 0.000141 |
|    Y     | 48.132707  | 0.000216 | 0.000216 | 0.000216 | 0.000216 | 0.000216 |  0.000216  | 0.000216 | 0.034533 |  9.769541 |  2.201081  | 0.027657 | 0.000216 |  0.161018 | 0.000216 | 0.000216 |  0.000216 | 0.000216 |  3.559743 | 0.278954 | 0.093308 | 0.000216 | 0.000216 | 0.000216 |  0.011845 |  0.018474 | 0.000216 | 0.000216 |  0.000216 |  0.000216 |  0.000216 |  0.000216 |  0.018648 |  0.000216 | 0.000216 |  0.000216 | 0.000216 | 0.000216 |  0.000216 | 0.000216 | 4.225409 | 27.725159 |  0.000216 | 0.000216 | 0.000216 | 0.000216 | 0.000216 | 0.000216 |
|    Z     | 63.977203  | 0.000147 | 0.000147 | 0.000147 | 0.000147 | 0.000147 | 25.902197  | 0.017126 | 0.078866 |  0.475951 |  7.623517  | 1.263440 | 0.327648 |  0.589864 | 4.213578 | 0.000253 |  1.050386 | 5.491126 |  0.181924 | 0.812482 | 0.323874 | 0.254804 | 1.151571 | 0.359846 |  4.675406 |  0.324175 | 0.200041 | 0.120862 |  0.475831 |  0.342415 |  1.134727 |  0.000147 |  0.102887 |  0.000147 | 0.106761 |  0.119991 | 2.198750 | 0.021854 |  0.441844 | 0.018362 | 0.000147 |  0.000217 |  0.053381 | 1.207940 | 0.282942 | 0.000147 | 0.000147 | 2.028892 |
|    ZH    | 111.577952 | 0.000692 | 0.000692 | 0.000692 | 0.000692 | 0.000692 |  0.000692  | 0.000692 | 0.000692 |  0.000692 | 111.433128 | 0.000692 | 0.000692 |  0.000692 | 0.000692 | 0.000692 |  0.000692 | 0.000692 |  0.000692 | 0.112799 | 0.000692 | 0.000692 | 0.000692 | 0.000692 |  0.000692 |  0.000692 | 0.000692 | 0.000692 |  0.000692 |  0.000692 |  0.000692 |  0.000692 |  0.000692 |  0.000692 | 0.000692 |  0.000692 | 0.000692 | 0.000692 |  0.000692 | 0.000692 | 0.000692 |  0.001576 |  0.000692 | 0.000692 | 0.000692 | 0.000692 | 0.000692 | 0.000692 |
+----------+------------+----------+----------+----------+----------+----------+------------+----------+----------+-----------+------------+----------+----------+-----------+----------+----------+-----------+----------+-----------+----------+----------+----------+----------+----------+-----------+-----------+----------+----------+-----------+-----------+-----------+-----------+-----------+-----------+----------+-----------+----------+----------+-----------+----------+----------+-----------+-----------+----------+----------+----------+----------+----------+
